Dates,Last 10 Year Average (Flow in cumecs),Last Year (Flow in cumecs),Current Year (Flow in cumecs),Level (m)
Mar-19,19.92004833,64.03,-,4.51
Apr-19,57.61876467,146.4,-,157.8
May-19,15.622846,53.11,-,157.8
Jun-19,101.3132436,153.8,-,3.443
Jul-19,274.4204292,896.6,-,4.54
Aug-19,289.945451,446.232,-,4.158
Sep-19,427.844856,743.6,-,7.087
Oct-19,150.458119,568.6,-,7.089
Nov-19,47.7997894,77.29,-,7.09
Dec-19,180.1990831,267.3,-,7.09
Jan-20,57.80332111,34.933,-,0
Feb-20,32.50924833,0,-,159.09
Mar-20,19.92004833,0,-,158.54
Apr-20,50.43141133,0,-,158.58
May-20,15.622846,0,-,158
Jun-20,93.79041022,0,-,159.95
Jul-20,236.6116612,0,-,159.57
Aug-20,260.617851,0,-,160.36
Sep-20,387.259804,0,-,159.47
Oct-20,137.028119,0,-,160.08
Nov-20,47.7997894,0,-,158.63
Dec-20,157.9377387,0,-,158.8
Jan-21,57.80332111,0,-,158.65
Feb-21,21.01505944,0,-,158.67
Mar-21,19.92004833,0,-,158.84
Apr-21,50.43141133,0,-,158
May-21,15.622846,0,-,158.68
Jun-21,32.23329911,0,-,160.13
Jul-21,183.4116612,0,-,160.19
Aug-21,224.637851,0,-,160.34
Sep-21,330.002424,0,-,160.08
Oct-21,137.028119,0,-,158.49
Nov-21,47.7997894,0,-,160.19
Dec-21,141.4940553,0,-,158.76
Jan-22,39.23506889,0,-,158.09
Feb-22,12.95590111,0,-,158.71
Mar-22,14.38,0,-,158.67
