Dates,Last 10 Year Average (Flow in cumecs),Last Year (Flow in cumecs),Current Year (Flow in cumecs),Level (m)
Apr-20,11.25023807,0,-,80.21
May-20,26.80424979,0,-,80.23
Jun-20,74.30033127,0,-,81.14
Jul-20,209.213615,0,-,80.97
Aug-20,141.0157381,0,-,81.35
Sep-20,291.5115378,0,-,81.17
Oct-20,196.3877325,0,-,81.22
Nov-20,166.4167506,0,-,80.64
Dec-20,103.808338,0,-,80.94
Jan-21,43.56814629,0,-,80.51
Feb-21,31.20958527,0,-,80.38
Mar-21,8.479107286,0,-,80.28
Apr-21,6.269693071,0,-,80.27
May-21,24.13799636,0,-,80.14
Jun-21,2.079554129,0,-,81.35
Jul-21,129.4850435,0,-,81.24
Aug-21,93.44073809,0,-,80.86
Sep-21,236.8954222,0,-,81.19
Oct-21,181.0118063,0,-,80.74
Nov-21,68.17418774,0,-,81.82
Dec-21,81.17562673,0,-,81.36
Jan-22,23.12689487,0,-,80.9
Feb-22,24.55453141,0,-,80.66
Mar-22,3.244726857,0,-,80.39
